"Fecha","Pasos","Tiempo de actividad","Minutos reales en movimiento","Distancia (km)","Calorias","Tiempo promedio por km","Porcentaje de cumplimiento","Porcentaje de cumplimiento real"
"10/9/2023","5151","49.45","50","3.9","432","12.4","111","100"
"10/10/2023","4736","46.3","47","3.79","404","12.5","104.44444444444","100"
"10/11/2023","5026","55.31","49","4.36","482","12.45","108.88888888889","100"
"10/12/2023","0","0","0","0","0","0","0","0"
"10/13/2023","4243","57.57","43","3.17","503","18.15","95","95"
"10/14/2023","0","0","0","0","0","0","0","0"
"10/15/2023","0","0","0","0","0","0","0","0"
"10/16/2023","0","0","0","0","0","0","0","0"
"10/17/2023","4933","53.32","51","3.69","465","14.3","113","100"
"10/18/2023","1360","29.1","20","0.93","151","31.26","44","44"
"10/19/2023","4890","53.15","48","3.75","462","14.1","106.66666666667","100"
"10/20/2023","0","0","0","0","0","0","0","0"
"10/21/2023","0","0","0","0","0","0","0","0"
"10/22/2023","4611","52.05","46","3.69","480","14.05","102.22222222222","100"
"10/23/2023","5632","52.32","52","4.26","507","12.25","115","100"
"10/24/2023","4497","56.05","45","3.09","487","18.05","100","100"
"10/25/2023","4688","48.13","47","2.76","419","17.3","104.44444444444","100"
"10/26/2023","4859","48","46","3.02","417","15.5","102.22222222222","100"
"10/27/2023","4676","47.5","47","3.37","415","14.1","104.44444444444","100"
"10/28/2023","0","0","0","0","0","0","0","0"
"10/29/2023","0","0","0","0","0","0","0","0"
"","59302","648.25","591","43.78","5624","","63","59"
"","","","","","","","",""
"","","","","","","","",""
